"","Country","Error","Target","TargNum","BiG100","GenFem","Age","Education","SES","PoliticsC","RelID"
"1","Australia",1,"Atheist",1,100,1,24,3,5,4,"9"
"2","Australia",1,"Religious",0,7,1,18,2,8,1,"11"
"3","Australia",0,"Religious",0,45,1,18,2,7,2,"10"
"4","Australia",0,"Religious",0,5,1,18,2,6,4,"11"
"5","Australia",0,"Religious",0,10,1,21,2,5,6,"1"
"6","Australia",0,"Religious",0,100,1,18,2,8,5,"3"
"7","Australia",1,"Religious",0,50,1,18,3,9,2,"10"
"8","Australia",1,"Atheist",1,100,1,18,3,7,3,"12"
"9","Australia",1,"Religious",0,35,0,20,3,5,4,"1"
"10","Australia",0,"Atheist",1,75,1,17,3,6,2,"10"
"11","Australia",0,"Religious",0,6,1,18,2,6,5,"9"
"13","Australia",0,"Atheist",1,10,1,18,2,9,2,"1"
"14","Australia",0,"Religious",0,20,1,18,3,9,3,"9"
"15","Australia",0,"Atheist",1,80,1,19,3,8,2,"1"
"16","Australia",1,"Religious",0,10,NA,17,3,7,1,"11"
"17","Australia",0,"Atheist",1,100,1,18,2,5,6,"1"
"18","Australia",0,"Religious",0,50,1,45,2,8,2,"6"
"20","Australia",0,"Religious",0,85,0,18,2,7,5,"1"
"22","Australia",0,"Religious",0,100,0,19,2,6,6,"1"
"23","Australia",1,"Atheist",1,25,1,28,4,7,1,"9"
"24","Australia",0,"Religious",0,30,0,19,2,8,3,"11"
"25","Australia",0,"Religious",0,80,1,18,3,8,4,"2"
"26","Australia",1,"Religious",0,70,0,19,2,8,4,"4"
"27","Australia",1,"Atheist",1,60,1,19,3,7,4,"5"
"28","Australia",1,"Religious",0,100,0,18,3,7,4,"2"
"29","Australia",0,"Religious",0,100,1,18,3,7,4,"6"
"30","Australia",0,"Atheist",1,50,0,22,3,8,3,"1"
"31","Australia",1,"Religious",0,20,1,18,2,6,5,"10"
"32","Australia",0,"Religious",0,0,1,18,3,7,2,"10"
"35","Australia",0,"Atheist",1,20,1,19,3,4,4,"9"
"37","Australia",1,"Atheist",1,100,0,22,3,5,4,"3"
"38","Australia",1,"Religious",0,20,0,19,2,6.5,3,"11"
"39","Australia",0,"Atheist",1,60,0,18,2,7,2,"2"
"40","Australia",0,"Atheist",1,5,1,19,3,8,2,"11"
"42","Australia",0,"Atheist",1,50,0,22,2,2,4,"9"
"44","Australia",1,"Atheist",1,50,1,19,3,8,2,"5"
"45","Australia",1,"Atheist",1,50,1,19,3,6,2,"1"
"46","Australia",0,"Religious",0,100,0,22,4,5,4,"3"
"47","Australia",1,"Atheist",1,100,1,18,3,9,4,"3"
"48","Australia",1,"Atheist",1,48,1,18,2,6,4,"11"
"49","Australia",1,"Atheist",1,90,0,19,3,8,4,"2"
"50","Australia",0,"Religious",0,100,1,18,3,5,4,"1"
"51","Australia",0,"Atheist",1,5,0,18,3,7,3,"9"
"52","Australia",1,"Religious",0,70,1,18,2,6,4,"1"
"53","Australia",0,"Religious",0,20,1,18,3,6,5,"11"
"54","Australia",0,"Religious",0,100,0,19,3,7,4,"3"
"55","Australia",0,"Atheist",1,0,0,21,2,8,2,"10"
"56","Australia",0,"Religious",0,20,0,18,2,4,4,"7"
"58","Australia",1,"Religious",0,5,1,19,2,7,5,"1"
"59","Australia",1,"Atheist",1,50,1,17,1,7,2,"9"
"60","Australia",0,"Atheist",1,80,1,19,3,7,2,"9"
"61","Australia",0,"Religious",0,10,1,19,3,6.5,2,"10"
"62","Australia",1,"Atheist",1,7,1,20,3,7.5,1,"11"
"63","Australia",0,"Atheist",1,99,1,18,3,7.5,1,"3"
"64","Australia",0,"Religious",0,50,1,18,3,8,3,"9"
